,Latitude,Longitude,RESapparent,Comments,data_set
0,56.043746,37.170243,688.6,упавшее дерево,hep_3-2
1,56.043741469836476,37.170256885989936,405.7,Начало тропы,hep_3-2
2,56.0437369396714,37.17027077197661,253.0,тропа с корнями,hep_3-2
3,56.04373240950476,37.170284657960025,363.2,Конец тропы,hep_3-2
4,56.04372787933656,37.17029854394018,412.2,Лес,hep_3-2
5,56.043723349166804,37.17031242991707,1162.0,Лес,hep_3-2
6,56.04371881899549,37.1703263158907,1672.0,Лес,hep_3-2
7,56.04371428882261,37.17034020186107,1490.0,Лес,hep_3-2
8,56.04370975864817,37.17035408782819,1787.0,Лес,hep_3-2
9,56.043705228472184,37.170367973792025,1527.0,Лес,hep_3-2
10,56.04370069829462,37.170381859752624,1268.0,Лес,hep_3-2
11,56.043696168115495,37.170395745709946,1380.0,Лес,hep_3-2
12,56.043691637934835,37.170409631664015,1607.0,Лес,hep_3-2
13,56.043687107752596,37.17042351761482,1421.0,Лес,hep_3-2
14,56.04368257756881,37.17043740356237,1173.0,Лес,hep_3-2
15,56.04367804738345,37.17045128950665,962.4,Лес,hep_3-2
16,56.043673517196545,37.170465175447674,920.5,Поляна,hep_3-2
17,56.04366898700809,37.170479061385436,1164.0,Лес,hep_3-2
18,56.04366445681806,37.170492947319936,1314.0,Начало старого разреза,hep_3-2
19,56.04365992662646,37.17050683325118,1331.0,Старый разрез,hep_3-2
20,56.043655396433316,37.17052071917916,1251.0,Термометры,hep_3-2
21,56.043650866238615,37.170534605103875,1006.0,Лес,hep_3-2
22,56.04364633604234,37.170548491025336,1024.0,Лес,hep_3-2
23,56.04364180584453,37.170562376943536,1104.0,Старый разрез,hep_3-2
24,56.04363727564514,37.170576262858475,1806.0,Конец старого разреза,hep_3-2
25,56.0436327454442,37.170590148770145,1525.0,Лес,hep_3-2
26,56.043628215241704,37.17060403467857,989.0,Кусты,hep_3-2
27,56.04362368503764,37.17061792058372,740.6,Пень,hep_3-2
28,56.04361915483202,37.170631806485616,1526.0,Лес,hep_3-2
29,56.04361462462484,37.17064569238425,1232.0,Лес,hep_3-2
30,56.04361009441611,37.17065957827962,1633.0,Кусты,hep_3-2
31,56.0436055642058,37.170673464171735,1655.0,Кусты,hep_3-2
32,56.04360103399395,37.17068735006058,1832.0,Кусты,hep_3-2
33,56.04359650378053,37.17070123594617,2302.0,Кусты,hep_3-2
34,56.043591973565555,37.1707151218285,1892.0,Лес,hep_3-2
35,56.04358744334902,37.17072900770757,1618.0,Дерево,hep_3-2
36,56.043582913130926,37.17074289358337,2231.0,Дерево,hep_3-2
37,56.04357838291128,37.17075677945592,3304.0,Папоротник  мощный,hep_3-2
38,56.04357385269006,37.17077066532521,1857.0,Лес,hep_3-2
39,56.043569322467306,37.17078455119123,2045.0,Папоротник (магичит),hep_3-2
40,56.043564792242975,37.170798437053996,2588.0,Лес,hep_3-2
41,56.043560262017074,37.1708123229135,2324.0,Лес,hep_3-2
42,56.04355573178963,37.170826208769746,1999.0,Лес,hep_3-2
43,56.04355120156064,37.170840094622726,1359.0,Поваленое дерево,hep_3-2
44,56.043546671330056,37.170853980472444,1462.0,Лес,hep_3-2
45,56.04354214109794,37.17086786631891,1633.0,Лес,hep_3-2
46,56.04353761086424,37.17088175216211,1363.0,Лес,hep_3-2
47,56.04353308062902,37.170895638002044,1163.0,Лес,hep_3-2
48,56.04352855039221,37.17090952383872,1210.0,Береза,hep_3-2
49,56.04352402015384,37.17092340967214,1445.0,Лес,hep_3-2
50,56.04351948991393,37.17093729550229,1361.0,Лес,hep_3-2
51,56.04351495967245,37.17095118132919,1313.0,Между березами,hep_3-2
52,56.043510429429396,37.17096506715283,1031.0,Лес,hep_3-2
53,56.04350589918481,37.1709789529732,1123.0,Лес,hep_3-2
54,56.04350136893864,37.17099283879031,709.7,Лес,hep_3-2
55,56.04349683869093,37.17100672460416,657.0,Лес,hep_3-2
56,56.04349230844165,37.17102061041476,734.0,Береза,hep_3-2
57,56.04348777819082,37.17103449622209,742.3,Береза,hep_3-2
58,56.04348324793842,37.17104838202616,439.0,Лес,hep_3-2
59,56.043478717684465,37.17106226782696,740.7,Клен,hep_3-2
60,56.04347418742895,37.17107615362451,890.4,Лес,hep_3-2
61,56.04346965717188,37.1710900394188,837.9,Лес,hep_3-2
62,56.04346512691324,37.17110392520983,1104.0,Лес,hep_3-2
63,56.04346059665306,37.17111781099759,1012.0,Лес,hep_3-2
64,56.04345606639131,37.1711316967821,670.8,Лес,hep_3-2
65,56.043451536128,37.17114558256334,1098.0,Клен,hep_3-2
66,56.043447005863136,37.17115946834133,1039.0,Лес,hep_3-2
67,56.04344247559671,37.17117335411605,829.8,Лес,hep_3-2
68,56.04343794532872,37.171187239887516,858.5,Клен,hep_3-2
69,56.04343341505918,37.17120112565571,1177.0,Лес,hep_3-2
70,56.04342888478808,37.17121501142065,930.7,Лес,hep_3-2
71,56.043424,37.17123,680.7,Поваленое дерево,hep_3-2
