,Latitude,Longitude,RESapparent
0,56.03864,37.165744,160.7181818
1,56.038652319601574,37.16571920741809,215.3666667
2,56.0386646391982,37.165694414820365,213.0
3,56.03867695878983,37.1656696222068,206.2736842
4,56.03868927837649,37.1656448295774,193.6363636
5,56.03870159795817,37.16562003693218,199.5189873
6,56.03871391753491,37.16559524427113,239.9620253
7,56.03872623710666,37.16557045159425,227.2
8,56.03873855667342,37.165545658901536,237.85
9,56.03875087623524,37.16552086619299,204.9622642
10,56.03876319579209,37.165496073468624,201.1666667
11,56.03877551534396,37.165471280728426,205.1111111
12,56.038787834890854,37.16544648797239,207.675
13,56.03880015443278,37.16542169520053,243.4285714
14,56.03881247396974,37.16539690241284,171.0
15,56.038824793501725,37.165372109609315,228.5853659
16,56.03883711302874,37.16534731678997,182.1304348
17,56.038849432550776,37.165322523954785,159.75
18,56.03886175206785,37.165297731103784,170.4
19,56.03887407157996,37.16527293823694,155.6538462
20,56.03888639108708,37.165248145354276,158.6632653
21,56.038898710589244,37.16522335245577,184.9736842
22,56.038911030086446,37.16519855954144,166.5769231
23,56.038923349578646,37.16517376661128,152.5970149
24,56.0389356690659,37.165148973665296,133.9484536
25,56.03894798854817,37.16512418070348,129.93
26,56.03896030802549,37.16509938772583,134.1111111
27,56.03897262749783,37.16507459473235,120.2823529
28,56.03898494696518,37.16504980172304,123.54
29,56.03899726642758,37.1650250086979,129.0909091
30,56.039009585885005,37.16500021565694,122.475
31,56.03902190533746,37.16497542260014,120.5131579
32,56.039034224784935,37.16495062952751,168.27
33,56.039046544227446,37.16492583643905,155.49
34,56.03905886366497,37.164901043334766,155.6538462
35,56.039071183097555,37.16487625021465,154.9090909
36,56.03908350252515,37.164851457078704,135.5454545
37,56.039095821947775,37.16482666392692,144.84
38,56.03910814136543,37.16480187075931,116.3307692
39,56.03912046077811,37.16477707757588,116.3814433
40,56.03913278018583,37.16475228437661,118.48125
41,56.03914509958858,37.164727491161514,109.5428571
42,56.03915741898635,37.164702697930586,115.9666667
43,56.039169738379144,37.16467790468382,129.4384615
44,56.03918205776697,37.16465311142124,125.8636364
45,56.039194377149826,37.164628318142825,108.1384615
46,56.03920669652773,37.164603524848566,109.097561
47,56.03921901590065,37.16457873153849,91.59
48,56.03923133526858,37.164553938212585,88.24285714
49,56.03924365463157,37.16452914487084,90.91463415
50,56.03925597398957,37.16450435151328,93.72
51,56.0392682933426,37.16447955813988,120.7
52,56.03928061269066,37.164454764750644,119.1785714
53,56.039292932033746,37.16442997134559,112.89
54,56.039305251371864,37.1644051779247,133.125
55,56.039317570705016,37.16438038448798,143.109375
56,56.039329890033194,37.164355591035424,154.6438356
57,56.03934220935641,37.16433079756705,190.8125
58,56.03935452867465,37.16430600408283,193.6363636
59,56.03936684798791,37.16428121058279,181.05
60,56.039379167296204,37.16425641706692,218.6052632
61,56.03939148659953,37.16423162353522,254.1052632
62,56.03940380589788,37.16420682998769,217.3469388
63,56.03941612519126,37.16418203642433,229.3846154
64,56.03942844447966,37.164157242845135,218.6052632
65,56.0394407637631,37.16413244925012,225.2413793
66,56.03945308304158,37.164107655639256,235.9384615
67,56.03946540231507,37.16408286201258,148.6046512
68,56.039477721583594,37.16405806837006,182.5714286
69,56.03949004084715,37.16403327471173,177.5
70,56.03950236010572,37.16400848103755,197.7857143
71,56.03951467935934,37.163983687347546,213.0
72,56.03952699860798,37.163958893641706,191.7
73,56.03953931785164,37.16393409992004,178.1454545
74,56.039551637090355,37.163909306182546,194.7428571
75,56.03956395632407,37.16388451242922,157.8705882
76,56.03957627555284,37.163859718660056,177.9176471
77,56.039602,37.163808,187.44
