"Начало (широта, долгота)",56.043746,37.170243
"Конец (широта, долгота)",56.043424,37.17123
шаг (м),1,
АВ (м),0.9,
К-геом (м),2.13,
УЭС (Ом м),comments,
850.8,упавшее дерево,
688.6,упавшее дерево,
405.7,Начало тропы,
253,тропа с корнями,
363.2,Конец тропы,
412.2,Лес,
1162,Лес,
1672,Лес,
1490,Лес,
1787,Лес,
1527,Лес,
1268,Лес,
1380,Лес,
1607,Лес,
1421,Лес,
1173,Лес,
962.4,Лес,
920.5,Поляна,
1164,Лес,
1314,Начало старого разреза,
1331,Старый разрез,
1251,Термометры,
1006,Лес,
1024,Лес,
1104,Старый разрез,
1806,Конец старого разреза,
1525,Лес,
989,Кусты,
740.6,Пень,
1526,Лес,
1232,Лес,
1633,Кусты,
1655,Кусты,
1832,Кусты,
2302,Кусты,
1892,Лес,
1618,Дерево,
2231,Дерево,
3304,Папоротник  мощный,
1857,Лес,
2045,Папоротник (магичит),
2588,Лес,
2324,Лес,
1999,Лес,
1359,Поваленое дерево,
1462,Лес,
1633,Лес,
1363,Лес,
1163,Лес,
1210,Береза,
1445,Лес,
1361,Лес,
1313,Между березами,
1031,Лес,
1123,Лес,
709.7,Лес,
657,Лес,
734,Береза,
742.3,Береза,
439,Лес,
740.7,Клен,
890.4,Лес,
837.9,Лес,
1104,Лес,
1012,Лес,
670.8,Лес,
1098,Клен,
1039,Лес,
829.8,Лес,
858.5,Клен,
1177,Лес,
930.7,Лес,
680.7,Поваленое дерево,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
